0 0 0 -0.0235983 -0.999722
30.6678 -0.641 30.6745 -0.0109948 -0.99994
60.0397 -0.66 60.0464 -0.00204837 -0.999998
90.4435 -0.763 90.4504 -0.00184786 -0.999998
120.683 -0.772 120.69 0.00413114 -0.999991
150.368 -0.516 150.376 0.0590438 -0.998255
180.173 2.747 180.359 0.167776 -0.985825
210.67 9.747 211.649 0.307789 -0.951455
240.428 22.239 243.923 0.382558 -0.923932
269.898 34.271 275.755 0.38156 -0.924344
294.619 44.608 302.549 0.31919 -0.947691
317.447 50.286 326.073 0.183315 -0.983054
342.549 53.545 351.385 0.098716 -0.995116
375.57 56.052 384.502 0.0642937 -0.997931
397.523 57.087 406.479 0.0466392 -0.998912
423.76 58.302 432.745 0.0398753 -0.999205
451.023 59.222 460.023 -0.00360978 -0.999994
486.998 58.073 496.016 -0.0384386 -0.999261
522.37 56.478 531.424 -0.0772579 -0.997011
555.877 52.736 565.139 -0.101914 -0.994793
584.625 50.1 594.008 -0.0941153 -0.995561
613.71 47.269 623.231 -0.114346 -0.993441
645.629 43.078 655.423 -0.127243 -0.991871
682.404 38.456 692.487 -0.125325 -0.992116
708.171 35.178 718.463 -0.113533 -0.993534
735.172 32.426 745.603 -0.0888901 -0.996041
762.172 30.359 772.682 -0.0834475 -0.996512
787.712 28.027 798.328 -0.0766077 -0.997061
813.467 26.418 824.134 -0.0760113 -0.997107
841.15 23.953 851.927 -0.105545 -0.994415
865.408 20.905 876.375 -0.0928572 -0.995679
893.684 19.054 904.711 -0.0756785 -0.997132
921.123 16.676 932.253 -0.081138 -0.996703
948.184 14.617 959.393 -0.0658231 -0.997831
979.628 12.817 990.888 -0.0608929 -0.998144
1007.49 10.999 1018.81 -0.0426373 -0.999091
1036.1 10.407 1047.42 0.0376694 -0.99929
1064 13.129 1075.46 0.115118 -0.993352
1094.1 17.129 1105.82 0.173297 -0.98487
1121.4 23.229 1133.8 0.2395 -0.970896
1146.8 30.129 1160.12 0.307429 -0.951571
1173.4 40.029 1188.5 0.426051 -0.904699
1198.4 54.429 1217.35 0.563337 -0.826227
1219.6 71.529 1244.59 0.694333 -0.719654
1237.89 92.529 1272.43 0.811124 -0.584874
1254.23 119.562 1304.02 0.879035 -0.476757
1268.57 149.095 1336.85 0.91658 -0.39985
1279.54 177.579 1367.38 0.934946 -0.35479
1291.5 209.535 1401.5 0.945822 -0.324687
1300.18 237.695 1430.97 0.957899 -0.287106
1308.7 266.906 1461.39 0.96209 -0.272731
1317.18 297.649 1493.28 0.978293 -0.207225
1322.33 331.268 1527.3 0.989857 -0.142066
1326.62 363.455 1559.77 0.988142 -0.153543
1333.53 403.337 1600.24 0.98378 -0.179381
1342.2 448.907 1646.63 0.983066 -0.183254
1351.5 499.729 1698.3 0.976925 -0.213584
1373.1 590.229 1791.34 0.977344 -0.211659
1380 631.329 1833.01 0.98788 -0.155223
1386 672.329 1874.45 0.989601 -0.143837
1392.5 717.329 1919.92 0.992964 -0.118414
1395.6 752.829 1955.55 0.994333 -0.106309
1399.3 780.929 1983.89 0.987905 -0.155059
1405.3 814.629 2018.12 0.981354 -0.192208
1411.6 843.729 2047.9 0.980757 -0.195232
1418 878.429 2083.18 0.983212 -0.182469
1423.7 908.929 2114.21 0.978106 -0.208108
1432 944.229 2150.47 0.96626 -0.257567
1440.6 972.329 2179.86 0.956713 -0.291032
1450.1 1003.73 2212.67 0.963896 -0.266279
1457.7 1034.23 2244.1 0.973989 -0.226597
1462.5 1057.03 2267.4 0.978782 -0.204903
1468.9 1087.73 2298.76 0.983239 -0.182322
1473.7 1117.43 2328.84 0.983947 -0.178463
1480 1148.93 2360.97 0.97962 -0.200862
1485.9 1176.93 2389.58 0.961589 -0.274493
1497.49 1210.2 2424.81 0.947088 -0.320974
1508.2 1242.73 2459.06 0.950004 -0.312237
1519.11 1275.98 2494.06 0.963498 -0.267717
1526.9 1310.03 2528.99 0.977872 -0.209202
1531.7 1334.83 2554.25 0.983252 -0.18225
1537.81 1368.89 2588.85 0.984238 -0.17685
1544.4 1405.51 2626.06 0.990241 -0.139366
1547.2 1435.61 2656.29 0.997736 -0.0672555
